,Date,Value
0,2011-03-29,1077.30004119
1,2011-03-30,4981.500192699999
2,2011-03-31,5166.60016445
3,2011-04-01,4758.75016211
4,2011-04-02,3046.35014537
5,2011-04-03,3101.1001376900003
6,2011-04-04,4908.60016439
7,2011-04-05,4858.500177420001
8,2011-04-06,4905.00019836
9,2011-04-07,4925.25018119
10,2011-04-08,4999.95019526
11,2011-04-09,3075.90013122
12,2011-04-10,3023.5501441999995
13,2011-04-11,5004.6001587
14,2011-04-12,5199.30019957
15,2011-04-13,5226.750171629999
16,2011-04-14,5162.55022428
17,2011-04-15,4991.55017468
18,2011-04-16,866.70003509
19,2011-04-17,2950.20010378
20,2011-04-18,4883.8501777599995
21,2011-04-19,5055.150171290001
22,2011-04-20,5084.10021592
23,2011-04-21,4914.000194509999
24,2011-04-22,3581.55014991
25,2011-04-23,2981.5500889200002
26,2011-04-24,2967.0001106400005
27,2011-04-25,3515.70014566
28,2011-04-26,4721.100164379999
29,2011-04-27,4931.850194940001
30,2011-04-28,5020.05018234
31,2011-04-29,4799.4001732199995
32,2011-04-30,3043.20012856
33,2011-05-01,2929.05012318
34,2011-05-02,3423.45014192
35,2011-05-03,4949.55017475
36,2011-05-04,5155.050151879999
37,2011-05-05,5238.75021174
38,2011-05-06,5129.10016059
39,2011-05-07,3088.95013995
40,2011-05-08,3017.40010454
41,2011-05-09,5041.950181959999
42,2011-05-10,5170.80017096
43,2011-05-11,5250.90023994
44,2011-05-12,5239.35021975
45,2011-05-13,5163.600193079999
46,2011-05-14,3169.6501369400003
47,2011-05-15,3034.6501293200004
48,2011-05-16,4844.2501563900005
49,2011-05-17,5056.0502109399995
50,2011-05-18,5052.6001988
51,2011-05-19,5048.250186899999
52,2011-05-20,4971.75019264
53,2011-05-21,3013.2001323900004
54,2011-05-22,2919.45011703
55,2011-05-23,4830.0002022
56,2011-05-24,5007.9001808699995
57,2011-05-25,5028.00018885
58,2011-05-26,5088.60017207
59,2011-05-27,5092.35015869
60,2011-05-28,3069.90011787
61,2011-05-29,2909.85011099
62,2011-05-30,4923.60022544
63,2011-05-31,5136.75021744
64,2011-06-01,5233.65021135
65,2011-06-02,5260.35019306
66,2011-06-03,4951.65018459
67,2011-06-04,3077.25013161
68,2011-06-05,2958.15011977
69,2011-06-06,3534.75013923
70,2011-06-07,5147.55017665
71,2011-06-08,5278.80020143
72,2011-06-09,5258.85017209
73,2011-06-10,5074.050186179999
74,2011-06-11,3062.25013165
75,2011-06-12,3018.00013154
76,2011-06-13,4889.85019689
77,2011-06-14,5198.550209069999
78,2011-06-15,5226.600206380001
79,2011-06-16,5265.30022429
80,2011-06-17,5272.65018464
81,2011-06-18,3056.7001437999998
82,2011-06-19,2950.35011292
83,2011-06-20,4976.55018233
84,2011-06-21,5206.95019914
85,2011-06-22,5236.2002354
86,2011-06-23,5222.40017705
87,2011-06-24,4948.650188449999
88,2011-06-25,2859.00009922
89,2011-06-26,2773.3500938300003
90,2011-06-27,4806.0001963899995
91,2011-06-28,5108.25018689
92,2011-06-29,5197.9502201
93,2011-06-30,5122.35023305
94,2011-07-01,4960.2001610199995
95,2011-07-02,3006.75010104
96,2011-07-03,2834.5500964700004
97,2011-07-04,4906.05018808
98,2011-07-05,5182.95019917
99,2011-07-06,5264.850221660001
100,2011-07-07,5288.2502441100005
101,2011-07-08,5200.50018311
102,2011-07-09,3005.5500945800004
103,2011-07-10,2841.45009991
104,2011-07-11,5094.900156
105,2011-07-12,5208.45018199
106,2011-07-13,5331.45016864
107,2011-07-14,5364.00023461
108,2011-07-15,5413.6502113
109,2011-07-16,3227.25013736
110,2011-07-17,3084.30012516
111,2011-07-18,5109.750227
112,2011-07-19,5279.850231119999
113,2011-07-20,5289.300233849999
114,2011-07-21,5372.25022886
115,2011-07-22,5063.40021322
116,2011-07-23,3088.5001259
117,2011-07-24,2940.6000976200003
118,2011-07-25,5083.65022281
119,2011-07-26,5410.05018996
120,2011-07-27,5276.25016979
121,2011-07-28,5283.600235
122,2011-07-29,5107.50019456
123,2011-07-30,3206.70010757
124,2011-07-31,2955.60010337
125,2011-08-01,3477.45014188
126,2011-08-02,5001.150197999999
127,2011-08-03,5051.10019495
128,2011-08-04,5231.250206
129,2011-08-05,5151.6002426
130,2011-08-06,3157.8001213400003
131,2011-08-07,2852.5501003500003
132,2011-08-08,4858.80017088
133,2011-08-09,5011.950208699999
134,2011-08-10,5044.500177389999
135,2011-08-11,5127.45017056
136,2011-08-12,5013.1501636699995
137,2011-08-13,3002.55010796
138,2011-08-14,2716.9500884400004
139,2011-08-15,4808.7002163199995
140,2011-08-16,5095.80020716
141,2011-08-17,5049.000194529999
142,2011-08-18,4985.25017935
143,2011-08-19,4937.7001895799995
144,2011-08-20,2971.6500949600004
145,2011-08-21,2797.350087022
146,2011-08-22,4689.450166680001
147,2011-08-23,5024.70019148
148,2011-08-24,5191.50019455
149,2011-08-25,5209.950204879999
150,2011-08-26,5060.250160239999
151,2011-08-27,3077.4001026
152,2011-08-28,2852.25009152
153,2011-08-29,4860.30013847
154,2011-08-30,4961.250175499999
155,2011-08-31,4950.4501991
156,2011-09-01,4990.80018425
157,2011-09-02,4847.85019685
158,2011-09-03,2948.1000880499996
159,2011-09-04,2784.15011022
160,2011-09-05,4780.35016443
161,2011-09-06,4979.85020642
162,2011-09-07,4981.80018038
163,2011-09-08,5043.15017893
164,2011-09-09,4905.00013353
165,2011-09-10,2986.35009953
166,2011-09-11,2897.2500953100002
167,2011-09-12,4790.25014689
168,2011-09-13,4923.75018691
169,2011-09-14,5030.55017466
170,2011-09-15,5017.50017935
171,2011-09-16,4968.900184620001
172,2011-09-17,3042.15009688
173,2011-09-18,2810.25009727
174,2011-09-19,4757.1001968
175,2011-09-20,4881.30020338
176,2011-09-21,4915.20018011
177,2011-09-22,4858.200157159999
178,2011-09-23,4769.40015797
179,2011-09-24,2915.70009613
180,2011-09-25,2834.4000892500003
181,2011-09-26,4652.850152969999
182,2011-09-27,4747.650178919999
183,2011-09-28,4720.20016479
184,2011-09-29,4953.60017969
185,2011-09-30,5020.20020673
186,2011-10-01,2819.5500888300003
187,2011-10-02,2662.20010373
188,2011-10-03,5137.05017472
189,2011-10-04,5151.150215170001
190,2011-10-05,5226.30019949
191,2011-10-06,5172.90018851
192,2011-10-07,5015.25019261
193,2011-10-08,2663.2500886650005
194,2011-10-09,2607.00009536
195,2011-10-10,4730.70017624
196,2011-10-11,5031.30018038
197,2011-10-12,4965.00018125
198,2011-10-13,5005.20020868
199,2011-10-14,4977.45015907
200,2011-10-15,2901.75011445
201,2011-10-16,2753.4001007300003
202,2011-10-17,4876.95019528
203,2011-10-18,4988.85018921
204,2011-10-19,4966.80015756
205,2011-10-20,4866.75017932
206,2011-10-21,4754.700181959999
207,2011-10-22,2722.20009227
208,2011-10-23,2591.10008043
209,2011-10-24,4788.00017168
210,2011-10-25,4819.20019341
211,2011-10-26,4830.4501552599995
212,2011-10-27,4805.700161000001
213,2011-10-28,4682.5501614
214,2011-10-29,2635.80009652
215,2011-10-30,2424.45008464
216,2011-10-31,3159.90012548
217,2011-11-01,4654.20016864
218,2011-11-02,4895.2501945799995
219,2011-11-03,4886.10018918
220,2011-11-04,4780.650146530001
221,2011-11-05,2850.9001025800003
222,2011-11-06,2608.20008082
223,2011-11-07,4502.25017171
224,2011-11-08,4773.90019987
225,2011-11-09,4735.8001861699995
226,2011-11-10,4475.60003662
227,2011-11-11,4308.0
228,2011-11-12,2623.0
229,2011-11-13,2583.5
230,2011-11-14,4299.0
231,2011-11-15,4390.0
232,2011-11-16,4341.5
233,2011-11-17,4365.0
234,2011-11-18,4363.0
235,2011-11-19,2577.0
236,2011-11-20,2519.0
237,2011-11-21,4307.5
238,2011-11-22,4517.0
239,2011-11-23,4498.5
240,2011-11-24,4530.0
241,2011-11-25,4479.5
242,2011-11-26,2671.5
243,2011-11-27,2566.5
244,2011-11-28,4447.5
245,2011-11-29,4636.0
246,2011-11-30,4616.5
247,2011-12-01,4700.5
248,2011-12-02,4746.0
249,2011-12-03,2712.0
250,2011-12-04,2505.0
251,2011-12-05,4716.0
252,2011-12-06,4904.0
253,2011-12-07,4909.0
254,2011-12-08,4816.5
255,2011-12-09,4769.0
256,2011-12-10,2997.5
257,2011-12-11,2816.5
258,2011-12-12,4714.5
259,2011-12-13,4839.0
260,2011-12-14,4886.5
261,2011-12-15,4997.0
262,2011-12-16,4798.0
263,2011-12-17,3006.0
264,2011-12-18,2899.5
265,2011-12-19,4694.5
266,2011-12-20,4783.0
267,2011-12-21,4676.5
268,2011-12-22,4499.0
269,2011-12-23,4269.5
270,2011-12-24,2892.5
271,2011-12-25,2473.5
272,2011-12-26,2658.5
273,2011-12-27,2631.5
274,2011-12-28,1980.0
275,2011-12-29,2589.0
276,2011-12-30,2499.5
277,2011-12-31,2456.5
278,2012-01-01,2433.0
279,2012-01-02,2754.0
280,2012-01-03,4212.5
281,2012-01-04,4544.5
282,2012-01-05,4460.5
283,2012-01-06,4412.0
284,2012-01-07,2563.0
285,2012-01-08,2422.0
286,2012-01-09,4439.5
287,2012-01-10,4538.5
288,2012-01-11,4522.0
289,2012-01-12,4544.0
290,2012-01-13,4611.0
291,2012-01-14,2762.5
292,2012-01-15,2547.0
293,2012-01-16,4650.5
294,2012-01-17,4698.5
295,2012-01-18,4649.0
296,2012-01-19,4705.0
297,2012-01-20,4584.5
298,2012-01-21,2926.5
299,2012-01-22,2598.0
300,2012-01-23,4631.5
301,2012-01-24,4651.5
302,2012-01-25,4628.0
303,2012-01-26,4742.0
304,2012-01-27,4578.0
305,2012-01-28,2826.0
306,2012-01-29,2525.5
307,2012-01-30,4540.5
308,2012-01-31,4836.5
309,2012-02-01,4744.0
310,2012-02-02,4765.5
311,2012-02-03,4719.5
312,2012-02-04,2827.5
313,2012-02-05,2687.0
314,2012-02-06,4592.0
315,2012-02-07,4658.5
316,2012-02-08,4730.5
317,2012-02-09,4603.5
318,2012-02-10,4477.5
319,2012-02-11,2842.5
320,2012-02-12,2552.0
321,2012-02-13,4584.0
322,2012-02-14,4636.0
323,2012-02-15,4534.5
324,2012-02-16,4564.5
325,2012-02-17,4407.5
326,2012-02-18,2658.0
327,2012-02-19,2557.5
328,2012-02-20,4484.0
329,2012-02-21,4510.5
330,2012-02-22,4476.5
331,2012-02-23,4440.5
332,2012-02-24,4453.0
333,2012-02-25,2671.5
334,2012-02-26,2583.0
335,2012-02-27,4424.0
336,2012-02-28,4499.0
337,2012-02-29,4516.5
338,2012-03-01,4519.5
339,2012-03-02,4527.0
340,2012-03-03,2792.0
341,2012-03-04,2616.5
342,2012-03-05,4498.0
343,2012-03-06,4534.0
344,2012-03-07,4550.5
345,2012-03-08,4543.0
346,2012-03-09,4370.0
347,2012-03-10,2662.5
348,2012-03-11,2572.5
349,2012-03-12,4369.0
350,2012-03-13,4480.0
351,2012-03-14,4518.0
352,2012-03-15,4289.0
353,2012-03-16,4246.0
354,2012-03-17,1672.5
355,2012-03-18,2281.5
356,2012-03-19,2688.0
357,2012-03-20,4075.0
358,2012-03-21,4216.0
359,2012-03-22,4250.5
360,2012-03-23,4115.5
361,2012-03-24,2517.5
362,2012-03-25,2394.0
363,2012-03-26,4123.5
364,2012-03-27,4332.0
365,2012-03-28,4232.5
366,2012-03-29,4217.0
367,2012-03-30,4106.0
368,2012-03-31,2420.0
369,2012-04-01,2315.0
370,2012-04-02,4187.5
371,2012-04-03,4400.5
372,2012-04-04,4451.5
373,2012-04-05,4279.5
374,2012-04-06,2792.5
375,2012-04-07,2428.0
376,2012-04-08,2313.0
377,2012-04-09,2742.5
378,2012-04-10,4061.0
379,2012-04-11,4195.0
380,2012-04-12,4248.5
381,2012-04-13,4182.0
382,2012-04-14,2445.0
383,2012-04-15,2392.5
384,2012-04-16,4227.0
385,2012-04-17,4344.0
386,2012-04-18,4380.5
387,2012-04-19,4419.5
388,2012-04-20,4150.0
389,2012-04-21,2433.5
390,2012-04-22,2270.0
391,2012-04-23,4239.5
392,2012-04-24,4211.5
393,2012-04-25,4299.0
394,2012-04-26,4389.0
395,2012-04-27,4231.0
396,2012-04-28,2511.0
397,2012-04-29,2371.5
398,2012-04-30,4257.0
399,2012-05-01,4368.5
400,2012-05-02,4385.0
401,2012-05-03,4368.0
402,2012-05-04,4194.5
403,2012-05-05,2475.0
404,2012-05-06,2399.0
405,2012-05-07,2834.0
406,2012-05-08,4164.0
407,2012-05-09,4329.0
408,2012-05-10,4334.5
409,2012-05-11,4215.5
410,2012-05-12,2528.0
411,2012-05-13,2380.0
412,2012-05-14,4226.5
413,2012-05-15,4425.0
414,2012-05-16,4333.5
415,2012-05-17,4326.0
416,2012-05-18,4206.0
417,2012-05-19,2731.0
418,2012-05-20,2397.5
419,2012-05-21,4240.0
420,2012-05-22,4342.0
421,2012-05-23,4378.5
422,2012-05-24,4414.0
423,2012-05-25,4202.5
424,2012-05-26,2527.0
425,2012-05-27,2421.0
426,2012-05-28,4305.5
427,2012-05-29,4358.5
428,2012-05-30,4368.0
429,2012-05-31,4375.0
430,2012-06-01,4212.5
431,2012-06-02,2414.0
432,2012-06-03,2274.0
433,2012-06-04,2740.5
434,2012-06-05,4115.0
435,2012-06-06,4171.0
436,2012-06-07,4262.5
437,2012-06-08,4115.5
438,2012-06-09,2381.0
439,2012-06-10,2279.0
440,2012-06-11,4121.5
441,2012-06-12,4252.0
442,2012-06-13,4370.0
443,2012-06-14,4331.5
444,2012-06-15,4312.0
445,2012-06-16,2636.0
446,2012-06-17,2487.0
447,2012-06-18,4142.0
448,2012-06-19,4322.5
449,2012-06-20,4310.5
450,2012-06-21,4475.5
451,2012-06-22,4215.0
452,2012-06-23,2378.5
453,2012-06-24,2303.0
454,2012-06-25,4297.0
455,2012-06-26,4434.5
456,2012-06-27,4717.0
457,2012-06-28,4555.0
458,2012-06-29,4394.5
459,2012-06-30,2556.5
460,2012-07-01,2369.5
461,2012-07-02,4372.0
462,2012-07-03,4539.0
463,2012-07-04,4438.0
464,2012-07-05,4433.5
465,2012-07-06,4336.0
466,2012-07-07,2613.5
467,2012-07-08,2448.0
468,2012-07-09,4313.0
469,2012-07-10,4417.0
470,2012-07-11,4468.0
471,2012-07-12,4368.0
472,2012-07-13,4334.5
473,2012-07-14,2486.0
474,2012-07-15,2372.0
475,2012-07-16,4322.0
476,2012-07-17,4478.0
477,2012-07-18,4432.0
478,2012-07-19,4360.0
479,2012-07-20,4249.5
480,2012-07-21,2471.5
481,2012-07-22,2389.0
482,2012-07-23,4377.5
483,2012-07-24,4477.0
484,2012-07-25,4675.0
485,2012-07-26,4747.0
486,2012-07-27,4585.5
487,2012-07-28,3063.0
488,2012-07-29,2913.5
489,2012-07-30,4500.5
490,2012-07-31,4744.5
491,2012-08-01,4719.0
492,2012-08-02,4603.0
493,2012-08-03,4590.5
